Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Location 1
Verizon Wireless,123792,SF FELL/CLAYTON (CA0681),1191,39,"RH-3,RM-2","80-E,130-E,80-D",hospital,,"Voice, Data, High Speed Data",,9,Tenant Improvement,,700/850/1900/AWS,468,118.1,Radha Sharma,925-278-4761,,"{'latitude': '37.774094', 'needs_recoding': False, 'human_address': '{""address"":""450 STANYAN"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.453581'}"
Verizon Wireless,123797,LOWER SUNSET (CA0708),1780,44,NC-2,40-X,mixed use,,"Voice, Data, High Speed Data",,9,Tenant Improvement,,700/850/1900/AWS,468,89,Radha Sharma,925-278-4761,,"{'latitude': '37.763022', 'needs_recoding': False, 'human_address': '{""address"":""1300 26TH"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.484414'}"
Verizon Wireless,123810,STOCKTON GREEN,130,43,North Beach,40-X,commercial,,"Voice, Data, High Speed Data",,9,Parking Garage,,700/850/1900/AWS,468,69.3,Radha Sharma,925-278-4761,,"{'latitude': '37.740158', 'needs_recoding': False, 'human_address': '{""address"":""766 VALLEJO"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.465994'}"
Verizon Wireless,123816,TWIN PEAKS (CA0624),2888A,1,RH-1,40-X,Church Bell Tower,,"Voice, Data, High Speed Data",,9,Tenant Improvement,,700/850/1900/AWS,468,50,Radha Sharma,925-278-4761,No planning docs found in file,"{'latitude': '37.746431', 'needs_recoding': False, 'human_address': '{""address"":""501 LAGUNA HONDA"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.458277'}"
Verizon Wireless,123823,SF 6TH STREET (CA0653),3733,17,RSD,40-X/85-B,commercial,,"Voice, Data, High Speed Data",,12,Tenant Improvement,,700/850/1900/AWS,468,147.4,Radha Sharma,925-278-4761,,"{'latitude': '37.781861', 'needs_recoding': False, 'human_address': '{""address"":""832 FOLSOM"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.402193'}"
Verizon Wireless,123824,SF 24TH/PACHECO (CA0668),2198,34,RH-2,40-X,commercial,,"Voice, Data, High Speed Data",,9,Tenant Improvement,,700/850/1900,468,38,Radha Sharma,925-278-4761,,"{'latitude': '37.747431', 'needs_recoding': False, 'human_address': '{""address"":""2145 19TH"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.476358'}"
Verizon Wireless,123825,SF POTRERO WEST (CA0669),4279,28,M-1,40-X,Monopole,,"Voice, Data, High Speed Data",,9,Ground,,700/850/1900/AWS,468,55.1,Radha Sharma,925-278-4761,,"{'latitude': '37.751039', 'needs_recoding': False, 'human_address': '{""address"":""1435 SAN BRUNO"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.403582'}"
Verizon Wireless,161531,SF Upper Noriega,1865,4,RH-2,40-X,Commercial,,"Voice, Data, High Speed Data",,6,Tenant Improvement,,700/850/1900,480,74,Radha Sharma,925-278-4761,,"{'latitude': '37.759258', 'needs_recoding': False, 'human_address': '{""address"":""1515 19TH"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.477719'}"
Verizon Wireless,161532,St Francis Woods,2979,26,NCD,26-X,Commercial,,"Voice, Data, High Speed Data",,3,Ground,,700/850/1900/AWS,480,40.9,Radha Sharma,925-278-4761,,"{'latitude': '37.740158', 'needs_recoding': False, 'human_address': '{""address"":""45 West Portal"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.465994'}"
Verizon Wireless,161539,UCSF PARNASSUS,1757,35,P / RH-2,40-X / 65-D/ 80-D,Commercial,,"Voice, Data, High Speed Data",,1,,,700/850/1900,480,0,Radha Sharma,925-278-4761,,"{'latitude': '37.763661', 'needs_recoding': False, 'human_address': '{""address"":""500 Parnassus"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.458289'}"
Verizon Wireless,161541,GEARY WA,1539,3,RM-1/NC-3,40-X,Kaiser Hospital,,"Voice, Data, High Speed Data",,9,Roof,,700/850/1900,480,83,Radha Sharma,925-278-4761,,"{'latitude': '37.78015', 'needs_recoding': False, 'human_address': '{""address"":""4141/450 Geary/6th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.464031'}"
Verizon Wireless,161757,EXPLORATORIUM,N/A,N/A,N/A,N/A,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/850/1900/AWS,480,64.1,Radha Sharma,925-278-4761,,"{'latitude': '37.793708', 'needs_recoding': False, 'human_address': '{""address"":""516 Shafter Road"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.447656'}"
Verizon Wireless,161761,SF India Basin,4602A,14,M-1,40',PG&E Tower,,"Voice, Data, High Speed Data",,6,Ground,,700/850/1900/AWS,480,54.1,Radha Sharma,925-278-4761,,"{'latitude': '37.737319', 'needs_recoding': False, 'human_address': '{""address"":""1135 Evans"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.380097'}"
Verizon Wireless,161767,GENEVA,6409,28,RH-1/NCD,65-A,mixed use,,"Voice, Data, High Speed Data",,6,Ground,,700/850/1900,480,49.3,Radha Sharma,925-278-4761,,"{'latitude': '37.716161', 'needs_recoding': False, 'human_address': '{""address"":""965 Geneva"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.439731'}"
Verizon Wireless,182976,SF 25th & Geary,1518,33,NC-3,40-X,Commercial,,"Voice, Data, High Speed Data",,9,Roof,,700/850/1900,480,56,Radha Sharma,925-278-4761,,"{'latitude': '37.779786', 'needs_recoding': False, 'human_address': '{""address"":""6221 Geary"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.486325'}"
Verizon Wireless,182996,Teresita Blvd,TBD,TBD,TBD,TBD,Monopole / BART,,"Voice, Data, High Speed Data",,6,Ground,,700/850/1900/AWS,480,40,Radha Sharma,925-278-4761,,"{'latitude': '37.732872', 'needs_recoding': False, 'human_address': '{""address"":""2901 Diamond"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.434114'}"
Verizon Wireless,182997,OCEAN AVE,3198,16,NCT,45-X,Apartments,,"Voice, Data, High Speed Data",,6,Tenant Improvement,,700/850/1900/AWS,480,47,Radha Sharma,925-278-4761,,"{'latitude': '37.72425', 'needs_recoding': False, 'human_address': '{""address"":""1344 Ocean Avenue"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.457181'}"
Verizon Wireless,188277,NOE VALLEY DAS 1 - Thru Crown Castle,2716,9,RH-1(S),40-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.760539', 'needs_recoding': False, 'human_address': '{""address"":""169 Yukon"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.439389'}"
Verizon Wireless,188277,NOE VALLEY DAS 10 - Thru Crown Castle,3645,37,RH-3,40-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.751619', 'needs_recoding': False, 'human_address': '{""address"":""190 San Jose"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.442019'}"
Verizon Wireless,188277,NOE VALLEY DAS 19 - Thru Crown Castle,2699,20,RH-2,40-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.746431', 'needs_recoding': False, 'human_address': '{""address"":""292 Eureka"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.44005'}"
Verizon Wireless,188277,NOE VALLEY DAS 12 - Thru Crown Castle,3609,23,NCT,55-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.7534', 'needs_recoding': False, 'human_address': '{""address"":""3274 21st"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.429931'}"
Verizon Wireless,188277,NOE VALLEY DAS 13 - Thru Crown Castle,3577,16,RTO-M,55-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.754861', 'needs_recoding': False, 'human_address': '{""address"":""3560 18th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42915'}"
Verizon Wireless,188277,NOE VALLEY DAS 14 - Thru Crown Castle,3620,15,RH-1,40-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.752428', 'needs_recoding': False, 'human_address': '{""address"":""3652 22nd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.442511'}"
Verizon Wireless,188277,NOE VALLEY DAS 15 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.756281', 'needs_recoding': False, 'human_address': '{""address"":""3747 23rd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.432581'}"
Verizon Wireless,188277,NOE VALLEY DAS 16 - Thru Crown Castle,3603,6,RH-2,40-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.747289', 'needs_recoding': False, 'human_address': '{""address"":""3800 21st"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.446019'}"
Verizon Wireless,188277,NOE VALLEY DAS 17 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.757531', 'needs_recoding': False, 'human_address': '{""address"":""398 Grand View"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.437969'}"
Verizon Wireless,188277,NOE VALLEY DAS 18 - Thru Crown Castle,6536,31,RH-2,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.75625', 'needs_recoding': False, 'human_address': '{""address"":""404 Vicksburg"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.432539'}"
Verizon Wireless,188277,NOE VALLEY DAS 11 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.746431', 'needs_recoding': False, 'human_address': '{""address"":""4294 22nd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.44005'}"
Verizon Wireless,188277,NOE VALLEY DAS 2 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.757019', 'needs_recoding': False, 'human_address': '{""address"":""4501 18th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.442311'}"
Verizon Wireless,188277,NOE VALLEY DAS 20 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.759081', 'needs_recoding': False, 'human_address': '{""address"":""5183 Diamond Heights"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.43495'}"
Verizon Wireless,188277,NOE VALLEY DAS 3 - Thru Crown Castle,2696,2,RH-2,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.754139', 'needs_recoding': False, 'human_address': '{""address"":""602 Castro"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.440928'}"
Verizon Wireless,188277,NOE VALLEY DAS 4 - Thru Crown Castle,2853,3,RH-1,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.760519', 'needs_recoding': False, 'human_address': '{""address"":""63 Sunview"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.428281'}"
Verizon Wireless,188277,NOE VALLEY DAS 5 - Thru Crown Castle,3585,6,RM-1,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.76195', 'needs_recoding': False, 'human_address': '{""address"":""646 Church"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.422869'}"
Verizon Wireless,188277,NOE VALLEY DAS 6 - Thru Crown Castle,3622,2,RH-2,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.756919', 'needs_recoding': False, 'human_address': '{""address"":""806 Noe"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.420681'}"
Verizon Wireless,188277,NOE VALLEY DAS 7 - Thru Crown Castle,2828,30,RH-2,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.753261', 'needs_recoding': False, 'human_address': '{""address"":""965 Elizabeth"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.426469'}"
Verizon Wireless,188277,NOE VALLEY DAS 8 - Thru Crown Castle,N/A,N/A,N/A,N/A,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.750739', 'needs_recoding': False, 'human_address': '{""address"":""996 Sanchez"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.428531'}"
Verizon Wireless,188277,NOE VALLEY DAS 9 - Thru Crown Castle,3645,37,RH-3,40-X,DAS/POLE,,Voice/Data,,1,Pole,,"700, 850, PCS",40,38,Radha Sharma,925-278-4761,,"{'latitude': '37.752189', 'needs_recoding': False, 'human_address': '{""address"":""190 San Jose Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.421681'}"
Verizon Wireless,248134,UCSF Mission Bay,8709,8,MB-RA,MB-RA,Commercial,,"Voice, Data, High Speed Data",,9,Roof,,700/850/1900,480,73,Radha Sharma,925-278-4761,,"{'latitude': '37.767861', 'needs_recoding': False, 'human_address': '{""address"":""1650 Owens"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.394472'}"
Verizon Wireless,249531,SFSU,7308,1,PM-R,45/130/85-PM,residential,,"Voice, Data, High Speed Data",,9,Basement,,700/850/1900/AWS,480,143.9,Radha Sharma,925-278-4761,,"{'latitude': '37.720836', 'needs_recoding': False, 'human_address': '{""address"":""310 Arballo"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.484183'}"
Verizon Wireless,261040,SF MISSION STREET,3637,69,NCT,65-B/40-X,Building,,"Voice, Data, High Speed Data",,12,Basement,,"700, 850, PCS",480,139,Radha Sharma,925-278-4761,,"{'latitude': '37.755164', 'needs_recoding': False, 'human_address': '{""address"":""2601 Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.418342'}"
Verizon Wireless,266234,Ferry Building SC @ Hyatt,234,17,C-3-O,200-S,Hotel,,"Voice, Data, High Speed Data",,6,Tenant Improvement,,700/850/1900/AWS,640,42,Radha Sharma,925-278-4761,,"{'latitude': '37.794783', 'needs_recoding': False, 'human_address': '{""address"":""5 Embarcadero Center"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.395128'}"
Verizon Wireless,273824,MARKET & 1ST,266,88,C-3-O,450-S,Commercial,,"Voice, Data, High Speed Data",,8,Roof,,700/1900/AWS,480,103,Radha Sharma,925-278-4761,,"{'latitude': '37.792139', 'needs_recoding': False, 'human_address': '{""address"":""98 Battery Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.399411'}"
Verizon Wireless,278140,Broadway & Battery SC1,165,4,C-2,65-A,Commercial,,"Voice, High Speed Data",,2,Roof,,700/850/1900/AWS,120,48.6,Radha Sharma,925-278-4761,,"{'latitude': '37.797728', 'needs_recoding': False, 'human_address': '{""address"":""701 Battery"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.401136'}"
Verizon Wireless,297881,SF_LM_PH1_SC 47,3776,151,SLI,65-X,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/850/1900/AWS,40,33,Radha Sharma,925-278-4761,,"{'latitude': '37.779386', 'needs_recoding': False, 'human_address': '{""address"":""434 Brannan St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.395383'}"
Verizon Wireless,302003,SF_LM_PH2_SC 88,3753,5,MUR,85-X,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/AWS,40,26,Radha Sharma,925-278-4761,,"{'latitude': '37.779707', 'needs_recoding': False, 'human_address': '{""address"":""205 Shipley St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4029569'}"
Verizon Wireless,302527,SF_UM_PH4_SC141,501,1,RH-3,40-X,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/AWS,40,21,Radha Sharma,925-278-4761,,"{'latitude': '37.801667', 'needs_recoding': False, 'human_address': '{""address"":""2565 Larkin Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42131'}"
Verizon Wireless,302581,SF_UM_PH4_SC231,186,10,RM-2,65-A,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/AWS,40,26,Radha Sharma,925-278-4761,,"{'latitude': '37.7937', 'needs_recoding': False, 'human_address': '{""address"":""1590 Washington"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.418059'}"
Verizon Wireless,302586,SF_UM_PH4_SC207,188,19,RM-3,65-A,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/AWS,40,32,Radha Sharma,925-278-4761,,"{'latitude': '37.794646', 'needs_recoding': False, 'human_address': '{""address"":""1456 Leavenworth St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.416384'}"
Verizon Wireless,302721,SF_UM_PH4_SC126,48,15,RM-1,40-X,Pole,,"Voice, Data, High Speed Data",,1,Pole,,700/AWS,40,36,Radha Sharma,925-278-4761,,"{'latitude': '37.803178', 'needs_recoding': False, 'human_address': '{""address"":""900 Chestnut St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.418388'}"
Verizon Wireless,123818,YERBA BUENA ISLAND,N/A,N/A,N/A,N/A,Ground,,"Voice, Data, High Speed Data",,4,Ground,,700/1900/AWS,160,16.5,Radha Sharma,925-278-4761,Macro,"{'latitude': '37.8092', 'needs_recoding': False, 'human_address': '{""address"":""324-331 Yearba Buena Drive"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.367833'}"
Verizon Wireless,288196,MACYS UNION SQUARE MACRO,314,4,C-3-R,80-130-F,Commercial,,"Voice, Data, High Speed Data",,9,Roof,,700/850/1900/AWS,640,165.4,Radha Sharma,925-278-4761,Macro,"{'latitude': '37.786986', 'needs_recoding': False, 'human_address': '{""address"":""170 O Farrell St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.407414'}"
Verizon Wireless,278145,25TH & PENNSYLVANIA,4290,15,PDR-2,65-J,Building,,"Voice, Data, High Speed Data",,6,Ground,,700/1900/AWS,480,22,Radha Sharma,925-278-4761,MACRO,"{'latitude': '37.752278', 'needs_recoding': False, 'human_address': '{""address"":""1475 25th Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.393403'}"
Verizon Wireless,291720,GOLDEN GATE & LARKIN SC1,347,7,RC-4,80-T,Building,,"Voice, Data, High Speed Data",,1,Ground,,700/1900/AWS,480,68.2,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.780664', 'needs_recoding': False, 'human_address': '{""address"":""270 McAllister St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.416578'}"
Verizon Wireless,278215,GRANT & GEARY SC1,313,1,C-3-R,80-130-F,Building,,"Voice, Data, High Speed Data",,1,Ground,,700/1900/AWS,480,99.4,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.787653', 'needs_recoding': False, 'human_address': '{""address"":""101 Geary St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.405194'}"
Verizon Wireless,278141,Pier 9,N/A,N/A,N/A,N/A,Building,,"Voice, Data, High Speed Data",,6,Ground,,700/850/1900/AWS,480,36,Radha Sharma,925-278-4761,MACRO,"{'latitude': '37.800167', 'needs_recoding': False, 'human_address': '{""address"":""9 Pier 9 The Embarcadero San Francisco, CA 94111"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.397981'}"
Verizon Wireless,273827,MISSION & 8TH,3701,60,C-3-G,150-S/180-S,Building,,"Voice, Data, High Speed Data",,12,Roof,,700/1900/AWS,640,139,Radha Sharma,925-278-4761,MACRO,"{'latitude': '37.777642', 'needs_recoding': False, 'human_address': '{""address"":""50 8th Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.414189'}"
Verizon Wireless,278219,MARKET & MONTGOMERY SC1,292,001A,C-3-O,250-S,Building,,"Voice, Data, High Speed Data",,1,Roof,,700/1900/AWS,640,66.7,Radha Sharma,925-278-4761,MACRO,"{'latitude': '37.789394', 'needs_recoding': False, 'human_address': '{""address"":""25 Montgomery"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.402278'}"
Verizon Wireless,297835,SF_LM_PH1_SC 1,3777,30,SLI,65-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,26.3,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.778732', 'needs_recoding': False, 'human_address': '{""address"":""570 4th St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.396924'}"
Verizon Wireless,297844,SF_LM_PH1_SC 10,3718,39,TB-DTR/P,400-S-50/85/550,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,24.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.790256', 'needs_recoding': False, 'human_address': '{""address"":""250 HOWARD ST"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.393703'}"
Verizon Wireless,297845,SF_LM_PH1_SC 11,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.791139', 'needs_recoding': False, 'human_address': '{""address"":""15 Fremont St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.397683'}"
Verizon Wireless,297846,SF_LM_PH1_SC 12,3706,96,C-3-R,400-1,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.785519', 'needs_recoding': False, 'human_address': '{""address"":""760 Mission St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.403094'}"
Verizon Wireless,297850,SF_LM_PH1_SC 16,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.784136', 'needs_recoding': False, 'human_address': '{""address"":""690 Folsom St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.398658'}"
Verizon Wireless,297836,SF_LM_PH1_SC 2,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.779142', 'needs_recoding': False, 'human_address': '{""address"":""170 Townsend St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.392242'}"
Verizon Wireless,297854,SF_LM_PH1_SC 20,3718,26,C-3-O(SD),400-S-50/85/550TB,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,24,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.791683', 'needs_recoding': False, 'human_address': '{""address"":""201 Mission St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.394875'}"
Verizon Wireless,297855,SF_LM_PH1_SC 21,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.785531', 'needs_recoding': False, 'human_address': '{""address"":""606 Folsom Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.396894'}"
Verizon Wireless,297857,SF_LM_PH1_SC 23,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.788581', 'needs_recoding': False, 'human_address': '{""address"":""477 Howard Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.395825'}"
Verizon Wireless,297858,SF_LM_PH1_SC 24,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.786117', 'needs_recoding': False, 'human_address': '{""address"":""127 Bryant St (570 Beale St)"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.389786'}"
Verizon Wireless,297859,SF_LM_PH1_SC 25,3763,8,MUO,65-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.782806', 'needs_recoding': False, 'human_address': '{""address"":""414 BRYANT ST"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.394144'}"
Verizon Wireless,297860,SF_LM_PH1_SC 26,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.781835', 'needs_recoding': False, 'human_address': '{""address"":""55 Townsend St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.388476'}"
Verizon Wireless,297861,SF_LM_PH1_SC 27,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.780072', 'needs_recoding': False, 'human_address': '{""address"":""785 2nd St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.389742'}"
Verizon Wireless,297863,SF_LM_PH1_SC 29,N/A,N/A,N/A,N/A,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.779394', 'needs_recoding': False, 'human_address': '{""address"":""648 3rd St"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.393622'}"
Verizon Wireless,297837,SF_LM_PH1_SC 3,3773,300,SB-DTR,45-X,DAS/POLE,,"Voice, Data, High Speed Data",,1,Pole,,1900/AWS,40,28.9,Radha Sharma,925-278-4761,SMALL CELL,"{'latitude': '37.784839', 'needs_recoding': False, 'human_address': '{""address"":""1 Bayside Village Pl"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.388389'}"
