Rank,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4694,PS,Misc,0.23,0.16,0.0,0.03,0.41
4695,XB,Shooter,0.26,0.13,0.0,0.02,0.41
4696,PSP,Fighting,0.0,0.0,0.41,0.0,0.41
4697,PS,Sports,0.23,0.16,0.0,0.03,0.41
4698,PS,Action,0.23,0.16,0.0,0.03,0.41
4699,PS,Sports,0.0,0.0,0.39,0.03,0.41
4700,PS3,Shooter,0.16,0.17,0.02,0.06,0.41
4701,SAT,Action,0.0,0.0,0.41,0.0,0.41
4702,X360,Action,0.28,0.1,0.0,0.03,0.41
4703,PSP,Shooter,0.17,0.15,0.0,0.09,0.41
4704,X360,Shooter,0.18,0.19,0.0,0.04,0.41
4705,DS,Adventure,0.15,0.22,0.0,0.05,0.41
4706,X360,Simulation,0.21,0.16,0.0,0.04,0.41
4707,PS2,Platform,0.2,0.16,0.0,0.05,0.41
4708,DS,Misc,0.0,0.0,0.41,0.0,0.41
4709,DS,Platform,0.31,0.03,0.04,0.03,0.41
4710,PS3,Fighting,0.21,0.08,0.09,0.04,0.41
4711,PS2,Action,0.2,0.16,0.0,0.05,0.41
4712,PSP,Action,0.27,0.08,0.0,0.06,0.41
4713,SAT,Adventure,0.0,0.0,0.41,0.0,0.41
4714,PS2,Adventure,0.34,0.01,0.0,0.06,0.41
4715,Wii,Misc,0.28,0.1,0.0,0.04,0.41
4716,Wii,Simulation,0.36,0.03,0.0,0.03,0.41
4717,PS3,Action,0.37,0.0,0.0,0.04,0.41
4718,PS,Racing,0.23,0.16,0.0,0.03,0.41
4719,PSV,Action,0.09,0.23,0.0,0.09,0.41
4720,Wii,Misc,0.0,0.0,0.41,0.0,0.41
4721,PSP,Action,0.24,0.1,0.0,0.07,0.41
4722,X360,Action,0.36,0.02,0.0,0.03,0.41
4723,PS2,Adventure,0.0,0.0,0.41,0.0,0.41
4724,Wii,Misc,0.36,0.03,0.0,0.03,0.41
4725,PSP,Racing,0.29,0.07,0.0,0.06,0.41
4726,X360,Simulation,0.3,0.08,0.0,0.03,0.41
4727,PS,Strategy,0.23,0.16,0.0,0.03,0.41
4728,DS,Action,0.23,0.14,0.0,0.04,0.41
4729,NES,Puzzle,0.0,0.0,0.41,0.0,0.41
4730,N64,Role-Playing,0.1,0.02,0.25,0.04,0.41
4731,N64,Action,0.33,0.07,0.0,0.0,0.41
4732,PS3,Sports,0.08,0.27,0.0,0.06,0.41
4733,PS2,Action,0.2,0.16,0.0,0.05,0.41
4734,PSV,Action,0.05,0.26,0.0,0.09,0.41
4735,PS2,Role-Playing,0.2,0.16,0.0,0.05,0.41
4736,PS,Simulation,0.13,0.09,0.16,0.03,0.41
4737,Wii,Racing,0.39,0.0,0.0,0.02,0.41
4738,Wii,Sports,0.18,0.19,0.0,0.04,0.41
4739,X360,Misc,0.24,0.13,0.0,0.04,0.41
4740,PS,Simulation,0.0,0.0,0.38,0.03,0.41
4741,PS3,Action,0.19,0.15,0.0,0.07,0.41
4742,PC,Shooter,0.14,0.23,0.0,0.04,0.41
4743,Wii,Misc,0.26,0.11,0.0,0.04,0.41
4744,PS3,Misc,0.16,0.18,0.0,0.07,0.41
4745,PS2,Misc,0.15,0.06,0.0,0.2,0.41
4746,WiiU,Action,0.2,0.1,0.08,0.03,0.41
4747,Wii,Action,0.21,0.12,0.04,0.03,0.41
4748,X360,Shooter,0.35,0.02,0.01,0.03,0.41
4749,PS2,Simulation,0.11,0.08,0.19,0.03,0.41
4750,PS2,Misc,0.2,0.16,0.0,0.05,0.41
4751,GC,Fighting,0.31,0.08,0.0,0.01,0.41
4752,Wii,Role-Playing,0.37,0.01,0.0,0.03,0.41
4753,PS2,Action,0.34,0.01,0.0,0.06,0.41
4754,PSP,Misc,0.0,0.0,0.41,0.0,0.41
4755,PS,Misc,0.23,0.15,0.0,0.03,0.41
4756,PS,Sports,0.15,0.1,0.12,0.03,0.41
4757,PS2,Sports,0.34,0.01,0.0,0.06,0.41
4758,GBA,Misc,0.0,0.0,0.4,0.01,0.41
4759,Wii,Racing,0.36,0.02,0.0,0.03,0.41
4760,X360,Action,0.21,0.16,0.0,0.04,0.41
4761,Wii,Simulation,0.34,0.04,0.0,0.03,0.41
4762,PS3,Fighting,0.22,0.12,0.0,0.06,0.41
4763,X360,Misc,0.29,0.09,0.0,0.03,0.41
4764,PC,Shooter,0.18,0.17,0.0,0.06,0.41
4765,PSP,Misc,0.0,0.0,0.41,0.0,0.41
4766,PS2,Role-Playing,0.23,0.02,0.0,0.16,0.41
4767,SNES,Puzzle,0.0,0.0,0.41,0.0,0.41
4768,PS2,Platform,0.34,0.01,0.0,0.06,0.41
4769,SNES,Sports,0.0,0.0,0.41,0.0,0.41
4770,PS2,Platform,0.2,0.16,0.0,0.05,0.41
4771,XOne,Shooter,0.24,0.13,0.0,0.04,0.41
4772,X360,Shooter,0.26,0.11,0.0,0.04,0.41
4773,PS,Fighting,0.23,0.15,0.0,0.03,0.41
4774,PS2,Action,0.34,0.01,0.0,0.06,0.41
4775,PC,Action,0.02,0.31,0.0,0.07,0.41
4776,PS3,Action,0.18,0.12,0.06,0.05,0.41
4777,DS,Action,0.19,0.18,0.0,0.04,0.41
4778,DS,Misc,0.38,0.0,0.0,0.03,0.41
4779,PS2,Action,0.2,0.15,0.0,0.05,0.41
4780,PS,Misc,0.23,0.15,0.0,0.03,0.4
4781,PS,Sports,0.23,0.15,0.0,0.03,0.4
4782,2600,Adventure,0.38,0.02,0.0,0.0,0.4
4783,PS3,Misc,0.08,0.26,0.0,0.07,0.4
4784,3DS,Simulation,0.0,0.13,0.26,0.01,0.4
4785,X360,Action,0.36,0.01,0.0,0.03,0.4
4786,2600,Action,0.38,0.02,0.0,0.0,0.4
4787,Wii,Action,0.17,0.2,0.0,0.04,0.4
4788,PSV,Misc,0.13,0.06,0.16,0.06,0.4
4789,X360,Strategy,0.34,0.03,0.01,0.03,0.4
4790,GC,Platform,0.31,0.08,0.0,0.01,0.4
4791,PS3,Action,0.32,0.04,0.01,0.04,0.4
4792,PS3,Sports,0.13,0.2,0.0,0.08,0.4
4793,3DS,Action,0.18,0.19,0.0,0.04,0.4
4794,WiiU,Role-Playing,0.0,0.0,0.4,0.0,0.4
4795,PS3,Platform,0.12,0.21,0.0,0.08,0.4
4796,GB,Role-Playing,0.0,0.0,0.4,0.0,0.4
4797,PS2,Sports,0.33,0.01,0.0,0.05,0.4
4798,PS2,Misc,0.2,0.15,0.0,0.05,0.4
4799,PS2,Sports,0.2,0.15,0.0,0.05,0.4
4800,Wii,Action,0.38,0.0,0.0,0.03,0.4
4801,Wii,Misc,0.0,0.0,0.4,0.0,0.4
4802,PS3,Action,0.1,0.2,0.02,0.08,0.4
4803,2600,Action,0.37,0.02,0.0,0.0,0.4
4804,PS2,Role-Playing,0.2,0.15,0.0,0.05,0.4
4805,GC,Sports,0.31,0.08,0.0,0.01,0.4
4806,DS,Strategy,0.3,0.03,0.04,0.03,0.4
4807,DS,Action,0.27,0.01,0.09,0.03,0.4
4808,PS2,Action,0.0,0.0,0.4,0.0,0.4
4809,PSP,Fighting,0.36,0.01,0.0,0.03,0.4
4810,PS2,Action,0.2,0.15,0.0,0.05,0.4
4811,GBA,Action,0.29,0.11,0.0,0.01,0.4
4812,PS,Strategy,0.0,0.0,0.38,0.03,0.4
4813,GC,Strategy,0.25,0.07,0.07,0.01,0.4
4814,PS,Sports,0.22,0.15,0.0,0.03,0.4
4815,GC,Action,0.31,0.08,0.0,0.01,0.4
4816,XOne,Misc,0.29,0.08,0.0,0.04,0.4
4817,SNES,Fighting,0.0,0.0,0.4,0.0,0.4
4818,XOne,Sports,0.31,0.06,0.0,0.03,0.4
4819,Wii,Action,0.34,0.03,0.0,0.03,0.4
4820,Wii,Action,0.22,0.08,0.08,0.03,0.4
4821,PS3,Sports,0.37,0.0,0.0,0.03,0.4
4822,XOne,Sports,0.23,0.14,0.0,0.04,0.4
4823,SAT,Fighting,0.0,0.0,0.4,0.0,0.4
4824,PS,Sports,0.22,0.15,0.0,0.03,0.4
4825,PS3,Action,0.14,0.19,0.0,0.07,0.4
4826,PS2,Platform,0.12,0.01,0.0,0.27,0.4
4827,PSP,Misc,0.0,0.0,0.4,0.0,0.4
4828,N64,Racing,0.32,0.07,0.0,0.0,0.4
4829,N64,Racing,0.32,0.07,0.0,0.0,0.4
4830,N64,Sports,0.37,0.03,0.0,0.0,0.4
4831,N64,Fighting,0.32,0.07,0.0,0.0,0.4
4832,PS2,Racing,0.2,0.15,0.0,0.05,0.4
4833,PS2,Misc,0.33,0.01,0.0,0.05,0.4
4834,PS,Platform,0.22,0.15,0.0,0.03,0.4
4835,X360,Sports,0.27,0.1,0.0,0.03,0.4
4836,DS,Adventure,0.06,0.3,0.0,0.04,0.4
4837,PS2,Racing,0.2,0.15,0.0,0.05,0.4
4838,PS2,Sports,0.33,0.01,0.0,0.05,0.4
4839,X360,Action,0.18,0.17,0.0,0.04,0.4
4840,PS2,Sports,0.2,0.15,0.0,0.05,0.4
4841,PC,Action,0.17,0.17,0.0,0.06,0.4
4842,GBA,Action,0.29,0.11,0.0,0.01,0.4
4843,Wii,Action,0.38,0.01,0.0,0.0,0.4
4844,XB,Racing,0.32,0.07,0.0,0.01,0.4
4845,GC,Action,0.31,0.08,0.0,0.01,0.4
4846,DS,Action,0.22,0.14,0.0,0.04,0.4
4847,GC,Simulation,0.24,0.14,0.0,0.02,0.4
4848,PS,Racing,0.22,0.15,0.0,0.03,0.4
4849,GBA,Role-Playing,0.0,0.0,0.39,0.01,0.4
4850,GBA,Action,0.29,0.11,0.0,0.01,0.4
4851,DS,Puzzle,0.34,0.03,0.0,0.03,0.4
4852,X360,Sports,0.32,0.05,0.0,0.03,0.4
4853,X360,Fighting,0.2,0.16,0.0,0.04,0.4
4854,WiiU,Sports,0.19,0.14,0.04,0.03,0.4
4855,X360,Action,0.12,0.23,0.0,0.05,0.4
4856,PS,Misc,0.22,0.15,0.0,0.03,0.4
4857,SNES,Role-Playing,0.0,0.0,0.4,0.0,0.4
4858,WiiU,Platform,0.24,0.12,0.01,0.03,0.4
4859,PS3,Action,0.17,0.16,0.0,0.07,0.4
4860,PS3,Action,0.18,0.15,0.0,0.06,0.4
4861,GC,Shooter,0.31,0.08,0.0,0.01,0.4
4862,XB,Sports,0.35,0.03,0.0,0.02,0.4
4863,PS,Adventure,0.0,0.0,0.37,0.03,0.4
4864,PS3,Simulation,0.09,0.04,0.24,0.02,0.4
4865,PS2,Platform,0.19,0.15,0.0,0.05,0.4
4866,PS,Strategy,0.22,0.15,0.0,0.03,0.4
4867,PS2,Simulation,0.19,0.15,0.0,0.05,0.4
4868,PS3,Sports,0.22,0.12,0.0,0.06,0.4
4869,PC,Role-Playing,0.01,0.32,0.0,0.07,0.4
4870,PS2,Strategy,0.0,0.0,0.4,0.0,0.4
4871,GC,Shooter,0.31,0.08,0.0,0.01,0.4
4872,DS,Action,0.26,0.1,0.0,0.03,0.4
4873,DS,Role-Playing,0.37,0.0,0.0,0.03,0.4
4874,X360,Adventure,0.17,0.19,0.0,0.03,0.4
4875,X360,Action,0.29,0.06,0.01,0.03,0.4
4876,SNES,Role-Playing,0.0,0.0,0.4,0.0,0.4
4877,X360,Role-Playing,0.23,0.13,0.0,0.04,0.4
4878,PS2,Racing,0.33,0.01,0.0,0.05,0.4
4879,PS2,Fighting,0.19,0.15,0.0,0.05,0.39
4880,PS3,Misc,0.17,0.15,0.0,0.07,0.39
4881,PS2,Action,0.19,0.15,0.0,0.05,0.39
4882,XB,Action,0.26,0.11,0.0,0.02,0.39
4883,PS3,Racing,0.07,0.23,0.01,0.09,0.39
4884,3DS,Action,0.19,0.17,0.0,0.03,0.39
4885,PS2,Racing,0.19,0.15,0.01,0.05,0.39
4886,PS3,Action,0.15,0.18,0.0,0.06,0.39
4887,N64,Sports,0.38,0.01,0.0,0.0,0.39
4888,Wii,Sports,0.36,0.0,0.0,0.03,0.39
4889,PS3,Role-Playing,0.17,0.14,0.03,0.06,0.39
4890,PS3,Action,0.14,0.18,0.0,0.07,0.39
4891,Wii,Sports,0.36,0.01,0.0,0.03,0.39
4892,DS,Racing,0.37,0.0,0.0,0.03,0.39
4893,PSP,Role-Playing,0.0,0.0,0.39,0.0,0.39
4894,PS,Racing,0.22,0.15,0.0,0.03,0.39
4895,PS,Fighting,0.22,0.15,0.0,0.03,0.39
4896,2600,Racing,0.37,0.02,0.0,0.0,0.39
4897,PS2,Shooter,0.0,0.0,0.39,0.0,0.39
4898,GBA,Action,0.28,0.1,0.0,0.01,0.39
4899,Wii,Fighting,0.34,0.02,0.0,0.03,0.39
4900,PS2,Sports,0.32,0.01,0.01,0.05,0.39
4901,PSP,Action,0.14,0.17,0.0,0.09,0.39
4902,XB,Shooter,0.29,0.08,0.0,0.01,0.39
4903,Wii,Role-Playing,0.18,0.14,0.04,0.04,0.39
4904,GBA,Role-Playing,0.0,0.0,0.39,0.0,0.39
4905,PSP,Action,0.39,0.0,0.0,0.0,0.39
4906,3DS,Sports,0.08,0.26,0.0,0.05,0.39
4907,DS,Sports,0.36,0.0,0.0,0.03,0.39
4908,X360,Shooter,0.24,0.12,0.0,0.03,0.39
4909,PSP,Sports,0.23,0.07,0.03,0.06,0.39
4910,2600,Action,0.37,0.02,0.0,0.0,0.39
4911,DS,Misc,0.36,0.0,0.0,0.03,0.39
4912,PSP,Platform,0.14,0.05,0.16,0.04,0.39
4913,PS,Sports,0.22,0.15,0.0,0.03,0.39
4914,DS,Misc,0.36,0.0,0.0,0.03,0.39
4915,GC,Misc,0.3,0.08,0.0,0.01,0.39
4916,PS4,Misc,0.18,0.16,0.0,0.05,0.39
4917,PS3,Adventure,0.31,0.01,0.03,0.05,0.39
4918,PS,Role-Playing,0.0,0.0,0.37,0.03,0.39
4919,3DS,Role-Playing,0.18,0.04,0.15,0.02,0.39
4920,X360,Shooter,0.18,0.17,0.01,0.04,0.39
4921,PSV,Racing,0.14,0.19,0.0,0.06,0.39
4922,DS,Racing,0.22,0.13,0.0,0.04,0.39
4923,Wii,Adventure,0.19,0.17,0.0,0.03,0.39
4924,DS,Platform,0.34,0.02,0.0,0.03,0.39
4925,X360,Sports,0.18,0.17,0.0,0.04,0.39
4926,3DS,Strategy,0.25,0.06,0.05,0.03,0.39
4927,Wii,Misc,0.0,0.0,0.39,0.0,0.39
4928,PC,Strategy,0.0,0.32,0.0,0.07,0.39
4929,XB,Sports,0.29,0.08,0.0,0.01,0.39
4930,PS3,Sports,0.3,0.01,0.0,0.07,0.39
4931,GBA,Sports,0.28,0.1,0.0,0.01,0.39
4932,N64,Sports,0.36,0.03,0.0,0.0,0.39
4933,N64,Fighting,0.0,0.0,0.34,0.05,0.39
4934,N64,Racing,0.31,0.07,0.0,0.0,0.39
4935,N64,Action,0.31,0.07,0.0,0.0,0.39
4936,PS3,Action,0.18,0.14,0.0,0.06,0.39
4937,GC,Adventure,0.23,0.06,0.09,0.01,0.39
4938,PC,Simulation,0.0,0.32,0.0,0.07,0.39
4939,PS2,Misc,0.19,0.15,0.0,0.05,0.39
4940,Wii,Misc,0.36,0.0,0.0,0.03,0.39
4941,PS2,Fighting,0.16,0.13,0.06,0.04,0.39
4942,PS2,Action,0.19,0.15,0.0,0.05,0.39
4943,Wii,Misc,0.37,0.0,0.0,0.02,0.39
4944,WiiU,Action,0.23,0.12,0.0,0.04,0.39
4945,WiiU,Misc,0.22,0.14,0.0,0.03,0.39
4946,SNES,Fighting,0.0,0.0,0.39,0.0,0.39
4947,PS2,Sports,0.19,0.15,0.0,0.05,0.39
4948,PS3,Role-Playing,0.33,0.02,0.0,0.04,0.39
4949,DS,Adventure,0.24,0.11,0.0,0.04,0.39
4950,PS3,Racing,0.07,0.24,0.0,0.08,0.39
4951,Wii,Simulation,0.34,0.02,0.0,0.03,0.39
4952,PS2,Misc,0.19,0.15,0.0,0.05,0.39
4953,PS3,Sports,0.16,0.15,0.0,0.07,0.39
4954,SNES,Fighting,0.0,0.0,0.39,0.0,0.39
4955,X360,Simulation,0.22,0.13,0.0,0.03,0.39
4956,GB,Role-Playing,0.0,0.0,0.39,0.0,0.39
4957,Wii,Adventure,0.35,0.01,0.0,0.03,0.39
4958,3DS,Sports,0.36,0.01,0.0,0.03,0.39
4959,GBA,Simulation,0.28,0.1,0.0,0.01,0.39
4960,PS2,Platform,0.19,0.15,0.0,0.05,0.39
4961,PS3,Sports,0.35,0.0,0.0,0.04,0.39
4962,SNES,Sports,0.0,0.0,0.39,0.0,0.39
4963,PS2,Racing,0.19,0.15,0.0,0.05,0.39
4964,XB,Shooter,0.29,0.08,0.0,0.01,0.39
4965,DS,Misc,0.26,0.09,0.0,0.03,0.39
4966,Wii,Sports,0.36,0.0,0.0,0.03,0.39
4967,PS2,Sports,0.19,0.15,0.0,0.05,0.39
4968,PS2,Misc,0.19,0.15,0.0,0.05,0.39
4969,2600,Action,0.36,0.02,0.0,0.0,0.39
4970,PS,Simulation,0.0,0.0,0.36,0.03,0.39
4971,3DS,Action,0.12,0.05,0.2,0.01,0.39
4972,X360,Action,0.27,0.08,0.01,0.03,0.39
4973,DS,Action,0.2,0.15,0.0,0.04,0.39
4974,Wii,Misc,0.0,0.36,0.0,0.02,0.39
4975,GBA,Sports,0.28,0.1,0.0,0.01,0.39
4976,DS,Misc,0.38,0.0,0.0,0.0,0.38
4977,PS4,Action,0.13,0.17,0.03,0.06,0.38
4978,PS2,Action,0.19,0.15,0.0,0.05,0.38
4979,3DS,Action,0.05,0.04,0.28,0.01,0.38
4980,DS,Role-Playing,0.16,0.0,0.2,0.01,0.38
4981,PS,Sports,0.21,0.15,0.0,0.03,0.38
4982,PS3,Sports,0.09,0.23,0.0,0.07,0.38
4983,SNES,Sports,0.0,0.0,0.38,0.0,0.38
4984,PS2,Role-Playing,0.07,0.05,0.25,0.02,0.38
4985,GB,Platform,0.0,0.0,0.38,0.0,0.38
4986,PS,Racing,0.21,0.15,0.0,0.03,0.38
4987,PSV,Role-Playing,0.16,0.05,0.12,0.05,0.38
4988,PS,Racing,0.0,0.0,0.36,0.03,0.38
4989,DS,Simulation,0.24,0.11,0.0,0.04,0.38
4990,XB,Sports,0.29,0.08,0.0,0.01,0.38
4991,PS2,Action,0.19,0.15,0.0,0.05,0.38
4992,Wii,Sports,0.36,0.0,0.0,0.03,0.38
4993,Wii,Role-Playing,0.17,0.12,0.06,0.03,0.38
4994,PS2,Strategy,0.0,0.0,0.38,0.0,0.38
4995,WiiU,Action,0.17,0.18,0.0,0.03,0.38
4996,PS3,Misc,0.27,0.07,0.0,0.04,0.38
4997,Wii,Misc,0.0,0.35,0.0,0.03,0.38
4998,PSV,Role-Playing,0.0,0.01,0.37,0.0,0.38
4999,PS3,Sports,0.15,0.17,0.0,0.07,0.38
5000,GBA,Platform,0.27,0.1,0.0,0.01,0.38
5001,PSP,Fighting,0.13,0.04,0.19,0.03,0.38
5002,PS2,Sports,0.19,0.15,0.0,0.05,0.38
5003,GC,Shooter,0.3,0.08,0.0,0.01,0.38
5004,X360,Shooter,0.22,0.12,0.0,0.03,0.38
5005,DS,Simulation,0.07,0.0,0.31,0.01,0.38
5006,PS2,Strategy,0.0,0.0,0.38,0.0,0.38
5007,GBA,Action,0.27,0.1,0.0,0.01,0.38
5008,PS2,Sports,0.1,0.0,0.0,0.28,0.38
5009,PS2,Action,0.19,0.15,0.0,0.05,0.38
5010,PS3,Sports,0.29,0.05,0.0,0.04,0.38
5011,SAT,Role-Playing,0.0,0.0,0.38,0.0,0.38
5012,3DS,Platform,0.11,0.23,0.0,0.04,0.38
5013,PS3,Sports,0.35,0.0,0.0,0.03,0.38
5014,GC,Fighting,0.3,0.08,0.0,0.01,0.38
5015,PS3,Sports,0.21,0.11,0.0,0.06,0.38
5016,PS,Sports,0.11,0.08,0.17,0.03,0.38
5017,XOne,Racing,0.15,0.2,0.0,0.03,0.38
5018,Wii,Action,0.12,0.22,0.0,0.04,0.38
5019,PS,Action,0.21,0.14,0.0,0.02,0.38
5020,PS,Strategy,0.0,0.0,0.36,0.02,0.38
5021,PS2,Misc,0.19,0.15,0.0,0.05,0.38
5022,PS2,Racing,0.19,0.15,0.0,0.05,0.38
5023,3DS,Adventure,0.0,0.0,0.38,0.0,0.38
5024,GC,Sports,0.29,0.08,0.0,0.01,0.38
5025,PS2,Sports,0.19,0.15,0.0,0.05,0.38
5026,PS4,Role-Playing,0.16,0.15,0.02,0.06,0.38
5027,GBA,Action,0.27,0.1,0.0,0.01,0.38
5028,3DS,Action,0.15,0.11,0.1,0.02,0.38
5029,PS2,Strategy,0.19,0.15,0.0,0.05,0.38
5030,DS,Misc,0.31,0.03,0.0,0.03,0.38
5031,PS3,Sports,0.3,0.04,0.0,0.04,0.38
5032,PS,Action,0.0,0.0,0.36,0.02,0.38
5033,PS2,Role-Playing,0.07,0.05,0.25,0.02,0.38
5034,PS2,Shooter,0.19,0.15,0.0,0.05,0.38
5035,GB,Role-Playing,0.0,0.0,0.38,0.0,0.38
5036,Wii,Sports,0.13,0.21,0.0,0.04,0.38
5037,PS2,Platform,0.19,0.15,0.0,0.05,0.38
5038,PS2,Action,0.32,0.01,0.0,0.05,0.38
5039,PS2,Shooter,0.21,0.0,0.0,0.17,0.38
5040,Wii,Sports,0.34,0.02,0.0,0.02,0.38
5041,PS3,Fighting,0.16,0.15,0.01,0.06,0.38
5042,PSP,Action,0.18,0.12,0.0,0.07,0.38
5043,Wii,Racing,0.11,0.23,0.0,0.04,0.38
5044,SAT,Simulation,0.0,0.0,0.38,0.0,0.38
5045,PS,Action,0.21,0.14,0.0,0.02,0.38
5046,DS,Misc,0.13,0.2,0.0,0.04,0.38
5047,XB,Action,0.28,0.08,0.0,0.01,0.38
5048,PS2,Racing,0.32,0.01,0.0,0.05,0.38
5049,PS,Racing,0.21,0.14,0.0,0.02,0.38
5050,SNES,Strategy,0.0,0.0,0.38,0.0,0.38
5051,PSP,Sports,0.14,0.15,0.0,0.09,0.38
5052,GC,Adventure,0.24,0.06,0.07,0.01,0.38
5053,PSP,Misc,0.0,0.0,0.38,0.0,0.38
5054,3DS,Role-Playing,0.12,0.05,0.2,0.01,0.38
5055,PS,Racing,0.21,0.14,0.0,0.02,0.38
5056,PS,Sports,0.21,0.14,0.0,0.02,0.38
5057,WiiU,Action,0.26,0.09,0.0,0.03,0.38
5058,PS3,Sports,0.02,0.29,0.01,0.05,0.38
5059,PC,Action,0.16,0.16,0.0,0.06,0.38
5060,PS4,Misc,0.19,0.13,0.0,0.06,0.38
5061,PS2,Action,0.12,0.0,0.0,0.26,0.38
5062,Wii,Simulation,0.32,0.03,0.0,0.03,0.38
5063,2600,Puzzle,0.35,0.02,0.0,0.0,0.38
5064,DS,Simulation,0.35,0.0,0.0,0.03,0.38
5065,Wii,Misc,0.22,0.12,0.0,0.03,0.38
5066,2600,Action,0.35,0.02,0.0,0.0,0.38
5067,DS,Racing,0.35,0.0,0.0,0.02,0.38
5068,PSV,Action,0.05,0.05,0.25,0.03,0.38
5069,PS2,Misc,0.18,0.14,0.0,0.05,0.38
5070,XB,Simulation,0.28,0.08,0.0,0.01,0.38
5071,PS3,Fighting,0.0,0.0,0.38,0.0,0.38
5072,PS2,Fighting,0.24,0.07,0.0,0.07,0.38
5073,PC,Racing,0.12,0.2,0.0,0.06,0.38
5074,DS,Platform,0.34,0.01,0.0,0.03,0.38
5075,3DS,Sports,0.11,0.13,0.11,0.02,0.38
5076,3DS,Role-Playing,0.28,0.01,0.06,0.02,0.38
5077,DS,Role-Playing,0.13,0.02,0.21,0.01,0.38
5078,Wii,Fighting,0.31,0.03,0.0,0.03,0.38
5079,PS3,Shooter,0.15,0.17,0.0,0.06,0.38
5080,PSP,Action,0.11,0.16,0.0,0.1,0.38
5081,GC,Action,0.29,0.08,0.0,0.01,0.38
5082,X360,Shooter,0.32,0.03,0.0,0.03,0.38
5083,DS,Adventure,0.35,0.0,0.0,0.03,0.37
5084,2600,Shooter,0.35,0.02,0.0,0.0,0.37
5085,DS,Simulation,0.35,0.0,0.0,0.03,0.37
5086,PS2,Fighting,0.09,0.07,0.19,0.02,0.37
5087,DS,Simulation,0.35,0.0,0.0,0.03,0.37
5088,WiiU,Sports,0.21,0.12,0.0,0.04,0.37
5089,PS3,Shooter,0.12,0.19,0.0,0.07,0.37
5090,DS,Fighting,0.19,0.03,0.13,0.02,0.37
5091,PS3,Action,0.13,0.17,0.0,0.07,0.37
5092,DS,Platform,0.32,0.03,0.0,0.03,0.37
5093,PS,Fighting,0.0,0.0,0.35,0.02,0.37
5094,DS,Action,0.35,0.0,0.0,0.02,0.37
5095,X360,Misc,0.12,0.21,0.0,0.04,0.37
5096,PS2,Sports,0.16,0.0,0.0,0.21,0.37
5097,GC,Action,0.29,0.07,0.0,0.01,0.37
5098,PS4,Adventure,0.14,0.15,0.03,0.06,0.37
5099,X360,Role-Playing,0.18,0.12,0.04,0.04,0.37
5100,XB,Sports,0.28,0.08,0.0,0.01,0.37
5101,Wii,Sports,0.34,0.0,0.0,0.03,0.37
5102,X360,Sports,0.34,0.0,0.0,0.03,0.37
5103,PS,Shooter,0.08,0.06,0.21,0.02,0.37
5104,PS2,Simulation,0.18,0.14,0.0,0.05,0.37
5105,Wii,Action,0.17,0.17,0.0,0.04,0.37
5106,PC,Shooter,0.2,0.14,0.0,0.03,0.37
5107,PSP,Role-Playing,0.0,0.0,0.37,0.0,0.37
5108,DS,Simulation,0.34,0.01,0.0,0.03,0.37
5109,XOne,Action,0.21,0.13,0.0,0.03,0.37
5110,GC,Platform,0.29,0.07,0.0,0.01,0.37
5111,PS2,Sports,0.18,0.14,0.0,0.05,0.37
5112,PS2,Sports,0.18,0.14,0.0,0.05,0.37
5113,PSP,Action,0.09,0.18,0.01,0.1,0.37
5114,PS2,Action,0.18,0.14,0.0,0.05,0.37
5115,PS2,Sports,0.18,0.14,0.0,0.05,0.37
5116,PSP,Sports,0.35,0.0,0.0,0.03,0.37
5117,SNES,Sports,0.0,0.0,0.37,0.0,0.37
5118,SAT,Shooter,0.0,0.0,0.37,0.0,0.37
5119,Wii,Sports,0.21,0.13,0.0,0.03,0.37
5120,PC,Shooter,0.14,0.18,0.0,0.06,0.37
5121,PS2,Action,0.31,0.01,0.0,0.05,0.37
5122,PS,Adventure,0.0,0.0,0.35,0.02,0.37
5123,X360,Role-Playing,0.21,0.12,0.01,0.03,0.37
5124,PSP,Racing,0.06,0.2,0.0,0.11,0.37
5125,Wii,Sports,0.35,0.0,0.0,0.02,0.37
5126,N64,Role-Playing,0.0,0.0,0.32,0.05,0.37
5127,N64,Shooter,0.3,0.06,0.0,0.0,0.37
5128,N64,Action,0.3,0.06,0.0,0.0,0.37
5129,2600,Action,0.35,0.02,0.0,0.0,0.37
5130,GC,Role-Playing,0.29,0.07,0.0,0.01,0.37
5131,PSP,Action,0.05,0.19,0.02,0.1,0.37
5132,PS3,Strategy,0.14,0.17,0.0,0.06,0.37
5133,PSP,Action,0.1,0.17,0.0,0.1,0.37
5134,PC,Strategy,0.0,0.33,0.0,0.03,0.37
5135,GC,Action,0.28,0.07,0.0,0.01,0.37
5136,DS,Puzzle,0.0,0.0,0.37,0.0,0.37
5137,GBA,Sports,0.26,0.1,0.0,0.01,0.37
5138,PS3,Platform,0.12,0.17,0.01,0.07,0.37
5139,X360,Shooter,0.17,0.15,0.0,0.04,0.37
5140,GBA,Adventure,0.0,0.0,0.36,0.01,0.37
5141,PS4,Action,0.11,0.18,0.02,0.06,0.37
5142,PSP,Role-Playing,0.33,0.0,0.0,0.03,0.37
5143,PSP,Sports,0.34,0.0,0.0,0.03,0.37
5144,SNES,Strategy,0.0,0.0,0.37,0.0,0.37
