Rank,Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales
1584,SOCOM: U.S. Navy SEALs Confrontation,5,6,0.94,0.17,0.02
1585,NBA Live 2001,12,0,0.7,0.47,0.0
1586,Star Wars: The Force Unleashed,6,8,0.49,0.0,0.01
1587,Combat,15,8,1.17,0.07,0.0
1588,Tom Clancy's Rainbow Six: Vegas,5,6,0.47,0.53,0.03
1589,Dragon Ball: Daimaou Fukkatsu,1,3,0.0,0.0,1.25
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,1,3,0.0,0.0,1.25
1591,Reel Fishing,12,0,0.99,0.13,0.1
1592,Injustice: Gods Among Us,5,9,0.48,0.53,0.01
1593,Pokemon XD: Gale of Darkness,18,3,0.71,0.19,0.31
1594,Black,6,6,1.01,0.04,0.03
1595,RollerCoaster Tycoon 2,14,11,1.19,0.05,0.0
1596,Lara Croft Tomb Raider: The Angel of Darkness,6,8,0.61,0.48,0.0
1597,Tom Clancy's Splinter Cell: Pandora Tomorrow,6,8,0.52,0.56,0.0
1598,Road Rash 3D,12,2,1.05,0.16,0.0
1599,Ratchet: Deadlocked,6,6,0.85,0.03,0.22
1600,Baldur's Gate: Dark Alliance,6,3,0.61,0.48,0.0
1601,Transformers: Autobots / Decepticons,3,8,1.12,0.03,0.0
1602,Tales of Xillia,5,3,0.29,0.19,0.67
1603,Diddy Kong Racing DS,3,2,1.1,0.04,0.0
1604,[Prototype],5,8,0.65,0.41,0.0
1605,Assassin's Creed: Bloodlines,16,8,0.43,0.48,0.05
1606,Oddworld: Abe's Oddysee,12,1,0.75,0.44,0.0
1607,The Witcher 3: Wild Hunt,17,3,0.66,0.47,0.0
1608,Ridge Racer V,6,8,0.24,0.19,0.75
1609,WWE SmackDown vs. Raw 2009,6,9,0.69,0.0,0.0
1610,Tetris 2 (All region sales),2,4,0.56,0.22,0.43
1611,Star Wars Episode III: Revenge of the Sith,13,8,0.82,0.38,0.0
1612,Ben 10: Protector of Earth,0,8,0.55,0.55,0.0
1613,Frogger: The Great Quest,6,1,0.6,0.47,0.0
1614,2010 FIFA World Cup South Africa,5,0,0.3,0.64,0.07
1615,Ninja Gaiden,13,8,0.92,0.2,0.07
1616,Crash Bandicoot: The Wrath of Cortex,13,1,0.59,0.57,0.0
1617,Driv3r,6,2,0.6,0.47,0.0
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,12,5,0.69,0.47,0.0
1619,Farming Simulator 2015,14,7,0.08,1.02,0.0
1620,Guitar Hero: Aerosmith,4,5,1.0,0.14,0.0
1621,Medal of Honor: Airborne,5,6,0.25,0.7,0.03
1622,Kirby Tilt 'n' Tumble,2,4,0.29,0.17,0.75
1623,SpongeBob SquarePants: Battle for Bikini Bottom,8,1,0.88,0.33,0.0
1624,Vigilante 8,12,2,0.68,0.47,0.0
1625,Castlevania,1,1,0.54,0.06,0.62
1626,Donkey Kong Country 2,8,1,0.79,0.27,0.12
1627,Bayonetta,5,8,0.44,0.41,0.21
1628,"WarioWare, Inc.: Mega MicroGame$",8,4,0.4,0.11,0.7
1629,Star Wars: Battlefront II,16,6,1.05,0.06,0.01
1630,Madden NFL 17,10,0,0.92,0.08,0.0
1631,Boom Blox,0,4,0.72,0.38,0.0
1632,Fallout 4,14,3,0.5,0.63,0.0
1633,The Sims 2: Castaway,0,7,0.45,0.64,0.0
1634,LEGO Batman 2: DC Super Heroes,5,8,0.5,0.53,0.0
1635,Naruto Shippuden: Ultimate Ninja Storm 2,5,9,0.42,0.47,0.15
1636,Mario Power Tennis,18,0,0.58,0.16,0.46
1637,Intelligent Qube,12,4,0.13,0.07,1.0
1638,Game & Watch Gallery 2,2,5,0.76,0.3,0.12
1639,Game & Watch Gallery 3,2,5,0.79,0.31,0.08
1640,Pac-Man,1,4,0.27,0.08,0.85
1641,Parfait: Chocolat Second Style,6,10,0.59,0.46,0.01
1642,F1 2011,5,2,0.12,0.75,0.11
1643,Cars,16,2,0.72,0.29,0.0
1644,NBA Live 99,12,0,1.13,0.05,0.0
1645,Chocobo no Fushigi Dungeon,12,3,0.0,0.0,1.14
1646,Golden Sun: The Lost Age,8,3,0.61,0.27,0.27
1647,SimCity 2000,12,7,0.68,0.46,0.0
1648,Max Payne,13,6,0.98,0.19,0.0
1649,WCW Mayhem,12,9,0.68,0.46,0.0
1650,NBA 2K2,6,0,0.59,0.46,0.01
1651,NASCAR Thunder 2003,6,2,0.6,0.46,0.0
1652,Super Street Fighter IV: 3D Edition,9,9,0.55,0.44,0.14
1653,Cars,6,2,1.01,0.04,0.0
1654,Fuzion Frenzy,13,5,0.93,0.24,0.0
1655,Call of Duty: Finest Hour,13,6,0.78,0.4,0.0
1656,FIFA Soccer 11,16,0,0.13,0.7,0.01
1657,Sly Cooper and the Thievius Raccoonus,6,1,1.03,0.14,0.0
1658,LEGO Indiana Jones 2: The Adventure Continues,3,8,0.66,0.43,0.0
1659,The Magical Quest starring Mickey Mouse,7,1,0.66,0.17,0.35
1660,Dragon Quest IV: Michibikareshi Monotachi,12,3,0.0,0.0,1.2
1661,Star Wars Episode 1: Jedi Power Battles,12,8,0.66,0.48,0.01
1662,Dino Crisis 2,12,8,0.34,0.49,0.28
1663,Need for Speed Underground,18,2,0.69,0.48,0.01
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,8,5,0.87,0.32,0.0
1665,Test Drive 4,12,2,0.67,0.46,0.0
1666,FIFA Soccer 07,16,0,0.24,0.65,0.0
1667,World Soccer Winning Eleven 9 (JP & Others sales),16,0,0.01,0.88,0.31
1668,The Lord of the Rings: The Fellowship of the Ring,6,8,0.59,0.46,0.0
1669,LEGO Star Wars III: The Clone Wars,5,8,0.52,0.49,0.0
1670,ATV Offroad Fury 3,6,2,1.0,0.04,0.0
1671,Pikmin 2,18,11,0.48,0.13,0.56
1672,Just Dance 2016,0,5,0.52,0.59,0.0
1673,Disney Sing It,0,5,0.77,0.31,0.0
1674,Battlefield: Hardline,17,6,0.72,0.37,0.01
1675,WWE 2K16,10,0,0.41,0.6,0.0
1676,Dragon Ball Z: La Legende Saien,7,9,0.0,0.0,1.2
1677,TwinBee,1,6,0.0,0.0,1.2
1678,Ganbare Goemon! Karakuri Douchuu,1,1,0.0,0.0,1.2
1679,NFL 2K,21,0,1.12,0.05,0.0
1680,SolarStriker,2,6,0.4,0.39,0.36
1681,Enter the Matrix,13,8,0.72,0.43,0.01
1682,NHL 2002,6,0,0.59,0.46,0.0
1683,Mario vs. Donkey Kong 2: March of the Minis,3,4,0.74,0.03,0.36
1684,PokéPark Wii: Pikachu's Adventure,0,10,0.55,0.17,0.42
1685,One Piece: Pirate Warriors,5,8,0.01,0.24,0.86
1686,WWE 2K14,5,0,0.49,0.49,0.0
1687,Metal Gear Solid: Portable Ops,16,8,0.38,0.35,0.38
1688,Nuclear Strike,12,7,0.66,0.45,0.0
1689,Captain Toad: Treasure Tracker,19,4,0.56,0.36,0.19
1690,WWE SmackDown vs Raw 2008,16,9,0.45,0.47,0.0
1691,The Simpsons: Road Rage,8,2,0.86,0.32,0.0
1692,Pro Evolution Soccer 2008,0,0,0.09,0.84,0.11
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,8,1,0.92,0.23,0.0
1694,Mario & Sonic at the London 2012 Olympic Games,9,0,0.18,0.64,0.27
1695,Scarface: The World is Yours,6,8,0.99,0.04,0.0
1696,Kobe Bryant in NBA Courtside,11,0,1.02,0.13,0.04
1697,Disney's Chip 'n Dale: Rescue Rangers,1,1,0.68,0.14,0.35
1698,The Dukes of Hazzard: Racing for Home,12,2,0.99,0.16,0.0
1699,Hitman 2: Silent Assassin,13,8,0.76,0.38,0.0
1700,FIFA 14,17,0,0.41,0.66,0.0
1701,Spider-Man: The Movie,18,8,0.86,0.27,0.01
1702,Final Fantasy I & II: Dawn of Souls,8,3,0.64,0.24,0.29
1703,NBA 2K17,10,0,0.83,0.14,0.0
1704,Pokemon Super Mystery Dungeon,9,3,0.46,0.31,0.33
1705,Just Dance 4,4,5,0.9,0.2,0.0
1706,Metal Gear Solid VR Missions,12,10,0.66,0.45,0.0
1707,Pole Position,15,2,1.1,0.07,0.0
1708,Resident Evil: Operation Raccoon City,5,8,0.48,0.25,0.36
1709,LEGO Indiana Jones: The Original Adventures,16,8,0.4,0.49,0.0
1710,Pro Yakyuu Family Stadium '88,1,0,0.1,0.0,1.08
1711,Shenmue,21,10,0.52,0.24,0.38
1712,Mario Tennis,2,0,0.5,0.18,0.44
1713,Tony Hawk's Pro Skater 2,8,0,0.85,0.31,0.0
1714,WWE '12,5,9,0.53,0.46,0.02
1715,WWE SmackDown vs. Raw 2010,5,9,0.48,0.49,0.01
1716,Plants vs. Zombies,3,11,0.95,0.15,0.0
1717,Sonic the Hedgehog,5,1,0.41,0.07,0.04
1718,Super Ghouls 'n Ghosts,7,1,0.5,0.14,0.52
1719,Spore,14,11,0.03,1.06,0.0
1720,Soviet Strike,12,7,0.65,0.44,0.0
1721,Your Shape: Fitness Evolved 2012,4,0,0.7,0.37,0.0
1722,Army of Two,5,6,0.74,0.26,0.02
1723,Gun,6,6,0.98,0.04,0.0
1724,Ty the Tasmanian Tiger,6,1,0.57,0.45,0.0
1725,Wario Land: Shake It!,0,1,0.6,0.31,0.15
1726,Sonic Rush Adventure,3,1,0.54,0.49,0.01
1727,Medal of Honor: Warfighter,4,8,0.58,0.47,0.01
1728,Mega Man 3,1,1,0.68,0.1,0.39
1729,Ratchet & Clank (2016),10,1,0.32,0.64,0.04
1730,Mission: Impossible,11,8,0.74,0.38,0.02
1731,Romancing SaGa 2,7,3,0.0,0.0,1.17
1732,Cabela's Dangerous Hunts,6,0,0.57,0.45,0.0
1733,Cool Boarders 4,12,0,0.65,0.44,0.0
1734,Rage Racer,12,2,0.16,0.11,0.83
1735,Medal of Honor: Rising Sun,13,6,0.76,0.36,0.0
1736,Football Manager 2013,14,0,0.0,0.95,0.0
1737,Destruction Derby 2,12,2,0.65,0.44,0.0
1738,Mirror's Edge,4,1,0.51,0.51,0.01
1739,Destiny: The Taken King,17,6,0.82,0.23,0.0
1740,Mario vs. Donkey Kong,8,4,0.68,0.25,0.21
1741,007: Quantum of Solace,5,8,0.43,0.52,0.02
1742,EA Sports Active: More Workouts,0,0,0.78,0.28,0.0
1743,Fallout: New Vegas,14,3,0.58,0.45,0.0
1744,Need for Speed: Most Wanted,22,2,0.38,0.52,0.01
1745,Final Fantasy Tactics: The War of the Lions,16,3,0.45,0.25,0.3
1746,Midnight Club 3: DUB Edition Remix,6,2,0.97,0.04,0.0
1747,Tom Clancy's Ghost Recon: Jungle Storm,6,6,0.57,0.44,0.0
1748,SingStar,5,5,0.45,0.58,0.0
1749,Bushido Blade,12,9,0.39,0.27,0.43
1750,LEGO Star Wars III: The Clone Wars,3,8,0.66,0.39,0.0
1751,NASCAR Thunder 2002,6,2,0.57,0.44,0.0
1752,Jet Force Gemini,11,6,0.78,0.28,0.07
1753,Mega Man X,7,1,0.57,0.08,0.5
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),8,3,0.84,0.27,0.0
1755,Sega Rally Championship,23,2,0.21,0.16,0.77
1756,Test Drive: Off Road,12,2,0.65,0.44,0.0
1757,Medal of Honor Heroes 2,16,6,0.5,0.39,0.02
1758,Sniper: Ghost Warrior,4,6,0.54,0.51,0.0
1759,Rocksmith,5,5,0.52,0.38,0.09
1760,LEGO Star Wars: The Video Game,13,8,0.83,0.28,0.0
1761,FIFA Soccer 10,16,0,0.15,0.68,0.01
1762,Plants vs. Zombies: Garden Warfare,4,6,0.51,0.54,0.0
1763,Worldwide Soccer Manager 2009,14,7,0.0,1.14,0.0
1764,Omerta: City of Gangsters,5,7,0.52,0.46,0.0
1765,Gauntlet: Dark Legacy,6,8,0.56,0.44,0.0
1766,Ninja Gaiden Sigma,5,8,0.57,0.33,0.09
1767,Bad Boys: Miami Takedown,6,6,0.56,0.44,0.0
1768,Kaboom!,15,5,1.07,0.07,0.0
1769,Red Dead Redemption: Undead Nightmare,5,8,0.44,0.46,0.06
1770,Sonic and the Black Knight,0,1,0.69,0.35,0.01
1771,Call of Duty 4: Modern Warfare,14,6,0.0,1.12,0.0
1772,Qix,2,4,0.51,0.2,0.41
1773,Derby Stallion III,7,0,0.0,0.0,1.15
1774,Doraemon,1,8,0.0,0.0,1.15
1775,High School Musical 2: Work This Out!,3,5,0.5,0.52,0.0
1776,Ratchet & Clank: All 4 One,5,1,0.75,0.22,0.05
1777,Donkey Konga,18,5,0.5,0.16,0.46
1778,Fight Night Champion,5,9,0.45,0.51,0.0
1779,Dragon Quest I & II,7,3,0.0,0.0,1.15
1780,Tak and the Power of Juju,6,1,0.56,0.44,0.0
1781,Asteroids,12,6,0.64,0.43,0.0
1782,Puyo Puyo Sun Ketteiban,12,4,0.0,0.0,1.07
1783,Pokemon Rumble Blast,9,8,0.47,0.26,0.35
1784,Action Bass,12,8,0.64,0.43,0.0
1785,Tenchu: Wrath of Heaven,6,8,0.44,0.34,0.25
1786,Shadow of the Colossus,6,8,0.78,0.03,0.2
1787,Brave Fencer Musashi,12,3,0.25,0.17,0.65
1788,Hot Shots Golf: Out of Bounds,5,0,0.31,0.03,0.76
1789,Dance Dance Revolution Extreme 2,6,7,0.95,0.04,0.0
1790,Mirror's Edge,5,1,0.31,0.59,0.02
1791,Rabbids Go Home,0,1,0.26,0.75,0.0
1792,South Park,11,6,0.9,0.23,0.0
1793,Commando,1,8,0.71,0.16,0.25
1794,Pilotwings,7,7,0.46,0.17,0.48
1795,Resident Evil - Code: Veronica,21,8,0.41,0.23,0.47
1796,Super R.C. Pro-Am,2,2,0.58,0.37,0.15
1797,The Lord of the Rings: The Return of the King,13,8,0.71,0.38,0.0
1798,LEGO Star Wars: The Video Game,8,8,0.82,0.3,0.0
1799,Royal Palace of White Sword and The City of Gentiles,6,3,0.0,0.51,0.0
1800,Guitar Hero 5,4,5,0.65,0.37,0.0
1801,Mobile Suit Gundam: Federation vs. Zeon,6,7,0.12,0.1,0.88
1802,Need for Speed Underground 2,18,2,0.7,0.39,0.01
1803,MechAssault,13,7,1.01,0.1,0.0
1804,ModNation Racers,5,2,0.5,0.41,0.06
1805,LEGO Star Wars III: The Clone Wars,9,8,0.61,0.43,0.0
1806,Derby Stallion 99,12,0,0.0,0.0,1.06
1807,Cars,8,2,0.81,0.3,0.0
1808,Fantasy Life,9,3,0.33,0.37,0.37
1809,Tom Clancy's Rainbow Six 3: Black Arrow,13,6,0.99,0.12,0.0
1810,WWE 2K15,10,0,0.38,0.56,0.0
1811,Donkey Kong,1,1,0.23,0.05,0.84
1812,Jampack Winter '98,12,5,0.63,0.43,0.0
1813,WWE 2K14,4,0,0.64,0.39,0.0
1814,Alien: Isolation,10,6,0.34,0.56,0.04
1815,Yakuza 3,5,8,0.21,0.21,0.62
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),8,3,0.81,0.3,0.0
1817,The Beatles: Rock Band,5,5,0.67,0.3,0.0
1818,Dragon Age II,4,8,0.72,0.3,0.01
1819,Moon Patrol,15,6,1.05,0.06,0.0
1820,Supercar Street Challenge,6,2,0.55,0.43,0.0
1821,Pilotwings 64,11,7,0.56,0.24,0.3
1822,Crackdown 2,4,6,0.63,0.37,0.02
1823,Final Fantasy XIV: A Realm Reborn,5,3,0.36,0.33,0.28
1824,Castlevania: Lords of Shadow,5,8,0.5,0.37,0.1
1825,Rocksmith,4,5,0.84,0.2,0.01
1826,Disney Infinity 2.0: Marvel Super Heroes,4,8,0.62,0.4,0.0
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,16,6,1.03,0.0,0.01
1828,Call Of Duty 2: Big Red One,13,6,0.66,0.4,0.0
1829,Yoshi's Cookie,1,4,0.41,0.06,0.63
1830,Guitar Hero 5,6,5,0.28,0.3,0.0
1831,Worldwide Soccer Manager 2008,14,0,0.0,1.12,0.0
1832,Spider-Man 2,13,8,0.82,0.26,0.0
1833,Counter-Strike,13,6,0.85,0.23,0.0
1834,Mad Max (2015),10,8,0.32,0.58,0.04
1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",6,8,0.63,0.37,0.0
1836,GRID,5,2,0.31,0.57,0.03
1837,Guitar Hero Encore: Rocks The 80s,6,5,0.92,0.04,0.0
1838,Sunset Overdrive,17,6,0.62,0.4,0.0
1839,Rock Band,6,5,0.71,0.06,0.0
1840,Tom Clancy's Splinter Cell: Chaos Theory,13,8,0.68,0.38,0.0
1841,Donkey Kong Jr.,1,1,0.33,0.07,0.7
1842,Arc the Lad,12,3,0.0,0.0,1.1
1843,NBA Jam Tournament Edition,20,0,0.95,0.14,0.0
1844,Need for Speed: ProStreet,0,2,0.54,0.46,0.0
1845,Pikmin 3,19,11,0.45,0.31,0.29
1846,Legend of Mana,12,3,0.18,0.13,0.73
1847,Lumines: Puzzle Fusion,16,4,0.52,0.35,0.0
1848,Toy Story 3: The Video Game,5,8,0.51,0.42,0.0
1849,Guitar Hero 5,5,5,0.53,0.4,0.0
1850,Megamania,15,6,1.03,0.06,0.0
1851,Medal of Honor: Airborne,4,6,0.45,0.53,0.01
1852,The Legend of Zelda: Tri Force Heroes,9,8,0.52,0.33,0.17
1853,Jungle Hunt,15,1,1.03,0.06,0.0
1854,Triple Play 98,12,0,0.61,0.42,0.0
1855,LEGO The Lord of the Rings,5,8,0.36,0.53,0.0
1856,Petz Dogz 2,3,7,0.47,0.52,0.0
1857,WWE SmackDown vs. Raw 2011,5,9,0.44,0.46,0.01
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,2,11,0.0,0.0,1.1
1859,Lode Runner,1,4,0.0,0.0,1.1
1860,The Final Fantasy Legend,2,3,0.0,0.0,1.1
1861,Famicom Jump: Eiyuu Retsuden,1,3,0.0,0.0,1.1
1862,F-Zero X,11,2,0.45,0.33,0.29
1863,Popeye,1,1,0.51,0.12,0.45
1864,NERF N-Strike,0,6,0.92,0.09,0.0
1865,NBA Live 2001,6,0,0.52,0.4,0.04
1866,SingStar Legends,6,5,0.12,0.75,0.0
1867,SingStar Rocks!,6,5,0.0,0.84,0.0
1868,Tales of Symphonia,18,3,0.54,0.21,0.31
1869,Untold Legends: Brotherhood of the Blade,16,3,0.54,0.33,0.01
1870,Star Ocean: The Second Story,12,3,0.26,0.1,0.72
1871,Lightning Returns: Final Fantasy XIII,5,3,0.31,0.22,0.45
1872,Star Wars: The Force Unleashed,16,8,0.43,0.41,0.0
1873,Imagine: Babysitters,3,7,0.63,0.36,0.0
1874,The Simpsons Game,16,8,0.24,0.55,0.0
1875,Yakuza 2,6,10,0.05,0.04,0.84
1876,Skate 2,4,0,0.82,0.17,0.01
1877,Dragon Ball Z: The Legacy of Goku II,8,3,0.78,0.29,0.0
1878,Virtua Fighter 5,5,9,0.29,0.52,0.08
1879,NFL 2K1,21,0,1.02,0.05,0.0
1880,BeatMania,12,7,0.0,0.0,1.07
1881,Namco Museum Battle Collection,16,5,0.75,0.18,0.0
1882,LEGO Star Wars II: The Original Trilogy,3,8,0.96,0.04,0.0
1883,Madden NFL 2004,13,0,1.02,0.02,0.0
1884,Empire: Total War,14,11,0.01,0.97,0.0
1885,The Godfather,6,8,0.89,0.03,0.01
1886,Tiger Woods PGA Tour 10,0,0,0.61,0.37,0.0
1887,Star Wars: Bounty Hunter,6,6,0.53,0.42,0.0
1888,Densha De Go!,12,7,0.0,0.0,1.02
1889,Dante's Inferno,5,8,0.64,0.28,0.04
1890,Sonic & Sega All-Stars Racing,3,2,0.44,0.54,0.0
1891,Skylanders Giants,5,8,0.35,0.52,0.0
1892,Endless Ocean,0,10,0.44,0.47,0.09
1893,NFL Blitz 2000,12,0,0.6,0.41,0.0
1894,Sonic Free Riders,4,2,0.74,0.26,0.0
1895,NASCAR Thunder 2004,6,2,0.53,0.41,0.0
1896,Prince of Persia,5,8,0.47,0.41,0.03
1897,SpongeBob SquarePants: Revenge of the Flying Dutchman,6,1,0.53,0.41,0.0
1898,Grand Theft Auto V,14,8,0.36,0.64,0.0
1899,The Biggest Loser,0,0,0.87,0.12,0.0
1900,Fisherman's Bass Club,6,0,0.53,0.41,0.0
1901,MySims Agents,3,10,0.55,0.43,0.0
1902,Resident Evil: The Darkside Chronicles,0,8,0.48,0.32,0.2
1903,NCAA Football 13,4,8,1.02,0.0,0.0
1904,Grand Theft Auto: Chinatown Wars,16,8,0.28,0.5,0.03
1905,FIFA Soccer 11,0,0,0.26,0.69,0.0
1906,The Orange Box,5,6,0.28,0.59,0.0
1907,Joust,15,1,1.01,0.06,0.0
1908,Tomb Raider: Underworld,4,8,0.53,0.43,0.01
1909,Tom Clancy's Ghost Recon 2,6,6,0.64,0.34,0.0
1910,DiRT 3,5,2,0.27,0.59,0.01
1911,LEGO City Undercover,19,1,0.47,0.4,0.13
1912,Spore Creatures,3,7,0.67,0.3,0.0
1913,Ready 2 Rumble Boxing,12,0,0.6,0.41,0.0
1914,Dragon Ball Z: Taiketsu,8,9,0.77,0.29,0.0
1915,Disney's Lilo & Stitch,8,1,0.77,0.29,0.0
1916,Star Fox: Assault,18,6,0.68,0.18,0.19
1917,Naruto: Ultimate Ninja Storm,5,9,0.49,0.35,0.09
1918,Marvel vs. Capcom 3: Fate of Two Worlds,4,9,0.79,0.18,0.03
1919,NCAA Football 14,4,0,1.01,0.0,0.0
1920,Doko Demo Issyo,12,5,0.0,0.0,1.0
1921,Call of Duty 3,6,6,0.89,0.03,0.0
1922,Imagine: Fashion Designer New York,3,7,0.65,0.32,0.0
1923,Red Dead Redemption: Undead Nightmare,4,8,0.57,0.39,0.02
1924,Bully: Scholarship Edition,4,8,0.53,0.4,0.03
1925,Virtua Fighter,23,9,0.17,0.12,0.77
1926,Championship Manager 99/00,14,0,0.0,0.98,0.0
1927,WWE SmackDown vs. Raw 2010,6,9,0.53,0.01,0.0
1928,Pro Evolution Soccer 2008,4,0,0.08,0.9,0.04
1929,Super Princess Peach,3,1,0.72,0.06,0.21
1930,NHL 99,12,0,0.59,0.4,0.0
1931,SoulCalibur III,6,9,0.74,0.15,0.13
1932,Skylanders SWAP Force,5,1,0.43,0.44,0.0
1933,F1 2012,5,2,0.12,0.64,0.05
1934,World Tour Soccer,16,0,0.1,0.63,0.0
1935,Disney Universe,0,8,0.67,0.3,0.0
1936,Ridge Racer Revolution,12,2,0.17,0.12,0.71
1937,LEGO Pirates of the Caribbean: The Video Game,4,8,0.54,0.42,0.0
1938,Hot Wheels Turbo Racing,12,2,0.59,0.4,0.0
1939,NCAA Football 99,12,0,0.59,0.4,0.0
1940,Mortal Kombat: Armageddon,6,9,0.88,0.04,0.0
1941,Aliens vs Predator,4,6,0.55,0.4,0.0
1942,Freekstyle,6,2,0.52,0.41,0.0
1943,Junior Brain Trainer,3,5,0.23,0.74,0.0
1944,Darksiders,4,8,0.67,0.29,0.01
1945,DiRT,5,2,0.16,0.67,0.0
1946,Call of Duty 4: Modern Warfare,3,6,0.96,0.02,0.01
1947,Simple 1500 Series Vol. 1: The Mahjong,12,5,0.0,0.0,0.99
1948,Sega Superstars Tennis,0,0,0.28,0.65,0.0
1949,NBA Street V3,6,0,0.52,0.41,0.0
1950,Sleeping Dogs,5,8,0.31,0.5,0.05
1951,Mercenaries 2: World in Flames,4,6,0.65,0.3,0.01
1952,Worms Armageddon,12,11,0.18,0.81,0.0
1953,Hulk,6,8,0.52,0.41,0.0
1954,LEGO Indiana Jones: The Original Adventures,5,8,0.44,0.44,0.0
1955,NFL Blitz,11,0,1.02,0.04,0.0
1956,NFL Quarterback Club 98,11,0,1.01,0.05,0.0
1957,DJ Hero,4,5,0.56,0.4,0.0
1958,Dora the Explorer: Dora Saves the Mermaids,3,1,0.97,0.01,0.0
1959,Diablo II: Lord of Destruction,14,3,1.03,0.02,0.0
1960,Naruto Shippuden: Ultimate Ninja Storm 4,10,9,0.39,0.41,0.1
1961,Spider-Man 2,8,8,0.76,0.28,0.0
1962,Virtua Tennis 3,5,0,0.23,0.59,0.03
1963,Seek and Destroy,6,2,0.52,0.4,0.0
1964,Warhawk,5,7,0.49,0.39,0.0
1965,Apollo Justice: Ace Attorney,3,10,0.32,0.06,0.64
1966,Assassin's Creed: Rogue,4,8,0.58,0.38,0.0
1967,Cosmic Ark,15,6,0.99,0.05,0.0
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,16,6,0.81,0.11,0.0
1969,Skylanders: Trap Team,0,8,0.42,0.54,0.0
1970,Aliens vs Predator,5,6,0.41,0.47,0.0
1971,Defender,15,5,0.99,0.05,0.0
1972,Dance on Broadway,0,5,0.27,0.66,0.0
1973,Adventure Island,1,1,0.0,0.0,1.05
1974,Arc the Lad II,12,3,0.0,0.0,0.92
1975,Tag Team Match M.U.S.C.L.E.,1,9,0.0,0.0,1.05
1976,Derby Stallion 96,7,0,0.0,0.0,1.04
1977,UFC Undisputed 3,5,8,0.55,0.34,0.03
1978,NBA 2K3,6,0,0.51,0.4,0.0
1979,Dragon Ball: XenoVerse,10,9,0.3,0.48,0.12
1980,The Simpsons: Road Rage,13,2,0.78,0.26,0.0
1981,Dave Mirra Freestyle BMX,12,0,0.91,0.11,0.0
1982,Imagine: Animal Doctor,3,7,0.45,0.49,0.0
1983,WWE SmackDown vs. Raw 2010,4,9,0.56,0.38,0.01
1984,Forza Motorsport,13,2,0.52,0.51,0.0
1985,Sonic the Hedgehog,4,1,0.44,0.49,0.0
1986,MySims Agents,0,10,0.62,0.32,0.0
1987,Monster Rancher 2,12,7,0.19,0.13,0.66
1988,Pokemon Conquest,3,3,0.58,0.06,0.37
1989,The Simpsons Game,4,8,0.54,0.4,0.0
1990,Guinness World Records: The Videogame,0,8,0.46,0.47,0.0
1991,MVP Baseball 2003,6,0,0.51,0.4,0.0
1992,Legacy of Kain: Soul Reaver,12,8,0.58,0.4,0.0
1993,Dragon Ball Z: Budokai Tenkaichi 3,0,9,0.33,0.37,0.26
1994,Disney Tangled,3,8,0.58,0.37,0.0
1995,Tales of Destiny,12,3,0.09,0.06,0.83
1996,ATV: Quad Power Racing,12,2,0.58,0.39,0.0
1997,Disney Fairies: Tinker Bell and the Lost Treasure,3,10,0.57,0.35,0.02
1998,Mega Man X4,12,8,0.45,0.3,0.22
1999,Naruto: Clash of Ninja 2,18,9,0.44,0.12,0.45
2000,Dance Dance Revolution SuperNOVA,6,7,0.87,0.03,0.0
2001,Brink,4,6,0.59,0.35,0.01
2002,F-Zero: Maximum Velocity,8,2,0.39,0.16,0.37
2003,Bomberman 64,11,4,0.5,0.2,0.31
2004,Jeremy McGrath Supercross 98,12,2,0.91,0.1,0.0
2005,LEGO Indiana Jones 2: The Adventure Continues,4,8,0.62,0.33,0.0
2006,Project CARS,10,2,0.17,0.69,0.02
2007,Need for Speed: Most Wanted,13,2,0.53,0.46,0.0
2008,Kirby: Mass Attack,3,1,0.52,0.06,0.41
2009,LEGO Marvel Super Heroes,17,8,0.61,0.34,0.0
2010,ZhuZhu Pets,3,7,0.68,0.27,0.0
2011,Tom Clancy's Ghost Recon Advanced Warfighter 2,5,6,0.34,0.48,0.02
2012,MotorStorm: Arctic Edge,16,2,0.16,0.58,0.0
2013,WipEout Pure,16,2,0.47,0.34,0.0
2014,EA Sports UFC,10,0,0.46,0.4,0.01
2015,MX vs. ATV Unleashed,6,2,0.86,0.03,0.0
2016,Sonic Unleashed,5,1,0.56,0.33,0.01
2017,Tiger Woods PGA Tour 08,0,0,0.94,0.02,0.0
2018,Rayman Origins,5,1,0.33,0.51,0.01
2019,Epic Mickey 2: The Power of Two,0,8,0.72,0.23,0.0
2020,NCAA March Madness 2004,6,0,0.5,0.39,0.0
2021,Donkey Kong Land III,2,1,0.68,0.31,0.0
